STAND,STATUS,FROM,TO,DURATION_MIN,MVMTNO
14,FREE,2025-07-28 00:00:00,2025-07-28 06:05:00,365.0,
14,OCCUPIED,2025-07-28 06:05:00,2025-07-28 07:30:00,85.0,25074531
14,FREE,2025-07-28 07:30:00,2025-07-28 12:15:00,285.0,
14,OCCUPIED,2025-07-28 12:15:00,2025-07-28 14:00:00,105.0,25074581
14,FREE,2025-07-28 14:00:00,2025-07-28 15:05:00,65.0,
14,OCCUPIED,2025-07-28 15:05:00,2025-07-28 16:45:00,100.0,25074591
14,FREE,2025-07-28 16:45:00,2025-07-28 19:00:00,135.0,
14,OCCUPIED,2025-07-28 19:00:00,2025-07-28 20:30:00,90.0,25074623
14,FREE,2025-07-28 20:30:00,2025-07-28 20:50:00,20.0,
14,OCCUPIED,2025-07-28 20:50:00,2025-07-28 22:40:00,110.0,25074643
14,FREE,2025-07-28 22:40:00,2025-07-28 23:59:59,79.98333333333333,
16,OCCUPIED,2025-07-27 22:20:00,2025-07-28 02:40:00,260.0,25074484
16,FREE,2025-07-28 02:40:00,2025-07-28 04:10:00,90.0,
16,OCCUPIED,2025-07-28 04:10:00,2025-07-28 07:00:00,170.0,25074509
16,FREE,2025-07-28 07:00:00,2025-07-28 07:20:00,20.0,
16,OCCUPIED,2025-07-28 07:20:00,2025-07-28 09:00:00,100.0,25074551
16,FREE,2025-07-28 09:00:00,2025-07-28 11:20:00,140.0,
16,OCCUPIED,2025-07-28 11:20:00,2025-07-28 12:55:00,95.0,25074576
16,FREE,2025-07-28 12:55:00,2025-07-28 15:15:00,140.0,
16,OCCUPIED,2025-07-28 15:15:00,2025-07-28 16:55:00,100.0,25074597
16,FREE,2025-07-28 16:55:00,2025-07-28 18:50:00,115.0,
16,OCCUPIED,2025-07-28 18:50:00,2025-07-28 19:50:00,60.0,25074615
16,FREE,2025-07-28 19:50:00,2025-07-28 20:30:00,40.0,
16,OCCUPIED,2025-07-28 20:30:00,2025-07-28 22:20:00,110.0,25074648
16,FREE,2025-07-28 22:20:00,2025-07-28 23:59:59,99.98333333333333,
1A,FREE,2025-07-28 00:00:00,2025-07-28 02:10:00,130.0,
1A,OCCUPIED,2025-07-28 02:10:00,2025-07-28 03:55:00,105.0,25074503
1A,FREE,2025-07-28 03:55:00,2025-07-28 06:40:00,165.0,
1A,OCCUPIED,2025-07-28 06:40:00,2025-07-28 08:45:00,125.0,25074537
1A,FREE,2025-07-28 08:45:00,2025-07-28 11:00:00,135.0,
1A,OCCUPIED,2025-07-28 11:00:00,2025-07-28 12:45:00,105.0,25074567
1A,FREE,2025-07-28 12:45:00,2025-07-28 14:25:00,100.0,
1A,OCCUPIED,2025-07-28 14:25:00,2025-07-28 16:15:00,110.0,25074596
1A,FREE,2025-07-28 16:15:00,2025-07-28 17:15:00,60.0,
1A,OCCUPIED,2025-07-28 17:15:00,2025-07-28 18:55:00,100.0,25074606
