STAND,STATUS,FROM,TO,DURATION_MIN,MVMTNO
14,FREE,2025-07-31 00:00:00,2025-07-31 00:25:00,25.0,
14,OCCUPIED,2025-07-31 00:25:00,2025-07-31 02:00:00,95.0,25075008
14,FREE,2025-07-31 02:00:00,2025-07-31 06:25:00,265.0,
14,OCCUPIED,2025-07-31 06:25:00,2025-07-31 07:50:00,85.0,25075041
14,FREE,2025-07-31 07:50:00,2025-07-31 12:15:00,265.0,
14,OCCUPIED,2025-07-31 12:15:00,2025-07-31 13:35:00,80.0,25075090
14,FREE,2025-07-31 13:35:00,2025-07-31 20:00:00,385.0,
14,OCCUPIED,2025-07-31 20:00:00,2025-07-31 21:40:00,100.0,25075145
14,FREE,2025-07-31 21:40:00,2025-07-31 23:59:59,139.98333333333332,
16,FREE,2025-07-31 00:00:00,2025-07-31 06:45:00,405.0,
16,OCCUPIED,2025-07-31 06:45:00,2025-07-31 08:20:00,95.0,25075047
16,FREE,2025-07-31 08:20:00,2025-07-31 11:10:00,170.0,
16,OCCUPIED,2025-07-31 11:10:00,2025-07-31 13:05:00,115.0,25075080
16,FREE,2025-07-31 13:05:00,2025-07-31 16:45:00,220.0,
16,OCCUPIED,2025-07-31 16:45:00,2025-07-31 17:45:00,60.0,25075117
16,FREE,2025-07-31 17:45:00,2025-07-31 20:30:00,165.0,
16,OCCUPIED,2025-07-31 20:30:00,2025-07-31 22:05:00,95.0,25075156
16,FREE,2025-07-31 22:05:00,2025-07-31 23:59:59,114.98333333333333,
1A,FREE,2025-07-31 00:00:00,2025-07-31 04:10:00,250.0,
1A,OCCUPIED,2025-07-31 04:10:00,2025-07-31 05:40:00,90.0,25075025
1A,FREE,2025-07-31 05:40:00,2025-07-31 07:00:00,80.0,
1A,OCCUPIED,2025-07-31 07:00:00,2025-07-31 08:45:00,105.0,25075051
1A,FREE,2025-07-31 08:45:00,2025-07-31 11:40:00,175.0,
1A,OCCUPIED,2025-07-31 11:40:00,2025-07-31 12:45:00,65.0,25075078
1A,FREE,2025-07-31 12:45:00,2025-07-31 13:15:00,30.0,
1A,OCCUPIED,2025-07-31 13:15:00,2025-07-31 14:55:00,100.0,25075101
1A,FREE,2025-07-31 14:55:00,2025-07-31 15:15:00,20.0,
1A,OCCUPIED,2025-07-31 15:15:00,2025-07-31 16:35:00,80.0,25075108
1A,FREE,2025-07-31 16:35:00,2025-07-31 17:10:00,35.0,
1A,OCCUPIED,2025-07-31 17:10:00,2025-07-31 19:00:00,110.0,25075118
1A,FREE,2025-07-31 19:00:00,2025-07-31 20:50:00,110.0,
1A,OCCUPIED,2025-07-31 20:50:00,2025-07-31 22:25:00,95.0,25075160
1A,FREE,2025-07-31 22:25:00,2025-07-31 23:59:59,94.98333333333333,
1B,FREE,2025-07-31 00:00:00,2025-07-31 05:35:00,335.0,
1B,OCCUPIED,2025-07-31 05:35:00,2025-07-31 08:10:00,155.0,25075035
1B,FREE,2025-07-31 08:10:00,2025-07-31 11:55:00,225.0,
1B,OCCUPIED,2025-07-31 11:55:00,2025-07-31 13:15:00,80.0,25075084
1B,FREE,2025-07-31 13:15:00,2025-07-31 13:45:00,30.0,
1B,OCCUPIED,2025-07-31 13:45:00,2025-07-31 15:00:00,75.0,25075097
1B,FREE,2025-07-31 15:00:00,2025-07-31 17:40:00,160.0,
1B,OCCUPIED,2025-07-31 17:40:00,2025-07-31 19:20:00,100.0,25075122
1B,FREE,2025-07-31 19:20:00,2025-07-31 20:20:00,60.0,
1B,OCCUPIED,2025-07-31 20:20:00,2025-07-31 21:25:00,65.0,25075142
1B,FREE,2025-07-31 21:25:00,2025-07-31 22:25:00,60.0,
1B,OCCUPIED,2025-07-31 22:25:00,2025-08-01 00:10:00,105.0,25075171
1C,FREE,2025-07-31 00:00:00,2025-07-31 00:10:00,10.0,
1C,OCCUPIED,2025-07-31 00:10:00,2025-07-31 01:15:00,65.0,25075007
1C,FREE,2025-07-31 01:15:00,2025-07-31 04:05:00,170.0,
1C,OCCUPIED,2025-07-31 04:05:00,2025-07-31 05:20:00,75.0,25075027
1C,FREE,2025-07-31 05:20:00,2025-07-31 06:40:00,80.0,
1C,OCCUPIED,2025-07-31 06:40:00,2025-07-31 08:05:00,85.0,25075060
1C,FREE,2025-07-31 08:05:00,2025-07-31 10:55:00,170.0,
1C,OCCUPIED,2025-07-31 10:55:00,2025-07-31 12:30:00,95.0,25075082
1C,FREE,2025-07-31 12:30:00,2025-07-31 17:50:00,320.0,
1C,OCCUPIED,2025-07-31 17:50:00,2025-07-31 19:20:00,90.0,25075130
1C,FREE,2025-07-31 19:20:00,2025-07-31 19:40:00,20.0,
1C,OCCUPIED,2025-07-31 19:40:00,2025-07-31 21:05:00,85.0,25075137
1C,FREE,2025-07-31 21:05:00,2025-07-31 21:40:00,35.0,
1C,OCCUPIED,2025-07-31 21:40:00,2025-08-01 00:00:00,140.0,25075158
21,FREE,2025-07-31 00:00:00,2025-07-31 06:35:00,395.0,
21,OCCUPIED,2025-07-31 06:35:00,2025-07-31 08:20:00,105.0,25075055
21,FREE,2025-07-31 08:20:00,2025-07-31 10:40:00,140.0,
21,OCCUPIED,2025-07-31 10:40:00,2025-07-31 12:05:00,85.0,25075075
21,FREE,2025-07-31 12:05:00,2025-07-31 20:20:00,495.0,
21,OCCUPIED,2025-07-31 20:20:00,2025-07-31 22:15:00,115.0,25075149
21,FREE,2025-07-31 22:15:00,2025-07-31 23:59:59,104.98333333333333,
22,OCCUPIED,2025-07-30 23:47:00,2025-07-31 03:05:00,198.0,25075005
22,FREE,2025-07-31 03:05:00,2025-07-31 06:15:00,190.0,
22,OCCUPIED,2025-07-31 06:15:00,2025-07-31 07:35:00,80.0,25075042
22,FREE,2025-07-31 07:35:00,2025-07-31 11:00:00,205.0,
22,OCCUPIED,2025-07-31 11:00:00,2025-07-31 12:35:00,95.0,25075081
22,FREE,2025-07-31 12:35:00,2025-07-31 20:35:00,480.0,
22,OCCUPIED,2025-07-31 20:35:00,2025-07-31 22:10:00,95.0,25075155
22,FREE,2025-07-31 22:10:00,2025-07-31 23:59:59,109.98333333333333,
23,OCCUPIED,2025-07-30 23:45:00,2025-07-31 01:00:00,75.0,25075003
23,FREE,2025-07-31 01:00:00,2025-07-31 05:30:00,270.0,
23,OCCUPIED,2025-07-31 05:30:00,2025-07-31 08:00:00,150.0,25075033
23,FREE,2025-07-31 08:00:00,2025-07-31 11:50:00,230.0,
23,OCCUPIED,2025-07-31 11:50:00,2025-07-31 13:05:00,75.0,25075079
23,FREE,2025-07-31 13:05:00,2025-07-31 20:35:00,450.0,
23,OCCUPIED,2025-07-31 20:35:00,2025-07-31 22:15:00,100.0,25075150
23,FREE,2025-07-31 22:15:00,2025-07-31 23:59:59,104.98333333333333,
24,OCCUPIED,2025-07-30 22:30:00,2025-07-31 00:55:00,145.0,25074986
24,FREE,2025-07-31 00:55:00,2025-07-31 06:05:00,310.0,
24,OCCUPIED,2025-07-31 06:05:00,2025-07-31 08:05:00,120.0,25075044
24,FREE,2025-07-31 08:05:00,2025-07-31 20:50:00,765.0,
24,OCCUPIED,2025-07-31 20:50:00,2025-07-31 22:30:00,100.0,25075152
24,FREE,2025-07-31 22:30:00,2025-07-31 23:59:59,89.98333333333333,
25,FREE,2025-07-31 00:00:00,2025-07-31 05:50:00,350.0,
25,OCCUPIED,2025-07-31 05:50:00,2025-07-31 07:55:00,125.0,25075038
25,FREE,2025-07-31 07:55:00,2025-07-31 11:55:00,240.0,
25,OCCUPIED,2025-07-31 11:55:00,2025-07-31 12:55:00,60.0,25075089
25,FREE,2025-07-31 12:55:00,2025-07-31 20:30:00,455.0,
25,OCCUPIED,2025-07-31 20:30:00,2025-07-31 22:10:00,100.0,25075159
25,FREE,2025-07-31 22:10:00,2025-07-31 23:59:59,109.98333333333333,
