MVMTNO,AIRL,A/CTYPE,STA,STD,LOADTYPE,DESTN,PAXIN,PAXOUT,HIST_STAND,MODEL_STAND,TYPE
25072984,UBG,B738,2025-07-19 05:00:00,2025-07-23 01:03:00,Pax,DAC,125,0,29,29,PREDAY
25073489,KQA,B738,2025-07-22 05:30:00,2025-07-23 05:18:00,Cgo,NBO,0,0,57,57,PREDAY
25073527,ABY,A320,2025-07-22 10:30:00,2025-07-23 02:40:00,Pax,PEW,127,99,54,54,PREDAY
25073628,ABY,A320,2025-07-22 19:40:00,2025-07-23 02:10:00,Pax,KTM,171,135,60,60,PREDAY
25073629,ABY,A321,2025-07-22 21:50:00,2025-07-23 09:20:00,Pax,BEY,218,210,34,34,PREDAY
25073625,ABY,A321,2025-07-22 22:10:00,2025-07-23 07:40:00,Pax,BGY,134,140,32,32,PREDAY
25073627,ABY,A320,2025-07-22 22:20:00,2025-07-23 04:45:00,Pax,MUX,105,107,40,40,PREDAY
25073630,ABY,A320,2025-07-22 22:25:00,2025-07-23 03:55:00,Pax,BAH,119,78,21,21,PREDAY
25073624,AXB,A320,2025-07-22 22:30:00,2025-07-23 00:55:00,Pax,DEL,126,171,23,23,PREDAY
25073632,FJL,A320,2025-07-22 22:55:00,2025-07-23 00:00:00,Pax,LHE,149,98,6,6,PREDAY
25073635,ABY,A320,2025-07-22 23:25:00,2025-07-23 00:25:00,Pax,AMD,142,166,4,4,PREDAY
25073633,AXB,B738,2025-07-22 23:35:00,2025-07-23 03:05:00,Pax,BOM,102,138,24,24,PREDAY
25073634,ABY,A320,2025-07-22 23:40:00,2025-07-23 01:15:00,Pax,DAC,173,156,14,14,PREDAY
25073636,BBC,B738,2025-07-22 23:46:00,2025-07-23 01:15:00,Pax,DAC,161,50,7,7,PREDAY
25073637,SIA,B744,2025-07-23 00:01:00,2025-07-23 01:50:00,Cgo,BRU,0,0,53,51,OPS
25073638,AXB,B738,2025-07-23 00:25:00,2025-07-23 02:00:00,Pax,ATQ,155,147,22,8,OPS
25073639,UBG,B738,2025-07-23 00:30:00,2025-07-23 01:30:00,Pax,DAC,182,97,8,6,OPS
25073640,IGO,A320,2025-07-23 00:55:00,2025-07-23 01:55:00,Pax,LKO,158,164,6,3,OPS
25073642,ABY,A320,2025-07-23 01:30:00,2025-07-23 03:00:00,Pax,KWI,80,93,3,5,OPS
25073641,ABY,A320,2025-07-23 01:35:00,2025-07-23 02:50:00,Pax,DOH,174,83,4,4,OPS
25073644,MSR,A320,2025-07-23 02:00:00,2025-07-23 03:00:00,Pax,CAI,126,121,5,7,OPS
25073643,ABY,A320,2025-07-23 02:10:00,2025-07-23 03:50:00,Pax,DMM,172,161,6,6,OPS
25073646,ABY,A320,2025-07-23 03:15:00,2025-07-23 05:50:00,Pax,TUU,65,119,14,1A,OPS
25073689,AXB,A320,2025-07-23 03:15:00,2025-07-23 04:15:00,Pax,CCJ,158,187,8,3,OPS
25073645,ABY,A320,2025-07-23 03:25:00,2025-07-23 04:15:00,Pax,DAM,95,141,23,4,OPS
25073650,ETH,B738,2025-07-23 03:25:00,2025-07-23 04:25:00,Pax,ADD,130,100,4,8,OPS
25073647,PGT,A321,2025-07-23 03:40:00,2025-07-23 04:50:00,Pax,SAW,173,174,3,7,OPS
25073648,IGO,A320,2025-07-23 03:55:00,2025-07-23 04:55:00,Pax,TRV,159,181,7,5,OPS
25073651,ABY,A320,2025-07-23 04:00:00,2025-07-23 06:05:00,Pax,UET,164,56,16,1B,OPS
25073691,MNB,A333,2025-07-23 04:05:00,2025-07-23 10:50:00,Cgo,KWI,0,0,61,51,OPS
25073653,ABY,A321,2025-07-23 04:05:00,2025-07-23 07:30:00,Pax,RUH,71,188,29,60,OPS
25073649,ABY,A320,2025-07-23 04:10:00,2025-07-23 09:00:00,Pax,GOX,118,159,33,52,OPS
25073655,ABY,A320,2025-07-23 04:40:00,2025-07-23 13:25:00,Pax,TBS,163,150,30,39,OPS
25073654,AXB,B38M,2025-07-23 05:00:00,2025-07-23 06:00:00,Pax,COK,170,178,6,4,OPS
25073664,ABY,A320,2025-07-23 05:20:00,2025-07-23 07:55:00,Pax,CAI,169,156,31,37,OPS
25073657,ABY,A320,2025-07-23 05:30:00,2025-07-23 07:10:00,Pax,ELQ,163,163,25,5,OPS
25073656,SEP,B738,2025-07-23 05:40:00,2025-07-23 06:40:00,Pax,PEW,165,29,23,6,OPS
25073660,ABY,A320,2025-07-23 05:45:00,2025-07-23 07:10:00,Pax,SYZ,174,83,1A,35,OPS
25073658,ABY,A320,2025-07-23 05:50:00,2025-07-23 07:20:00,Pax,KBL,172,146,3,24,OPS
25073662,ABY,A320,2025-07-23 05:50:00,2025-07-23 07:00:00,Pax,KHI,160,69,7,8,OPS
25073661,ABY,A320,2025-07-23 05:55:00,2025-07-23 07:30:00,Pax,MED,154,177,8,3,OPS
25073659,ABY,A320,2025-07-23 06:00:00,2025-07-23 07:30:00,Pax,JED,111,173,4,14,OPS
25073665,ABY,A320,2025-07-23 06:15:00,2025-07-23 07:35:00,Pax,SLL,174,173,5,1C,OPS
25073668,ABY,A320,2025-07-23 06:15:00,2025-07-23 20:30:00,Pax,AMM,154,178,35,54,OPS
25073663,ABY,A320,2025-07-23 06:25:00,2025-07-23 09:10:00,Pax,EBB,168,158,36,23,OPS
25073684,ABY,A320,2025-07-23 06:25:00,2025-07-23 09:25:00,Pax,IST,135,146,37,56,OPS
25073686,ABY,A320,2025-07-23 06:30:00,2025-07-23 08:20:00,Pax,AMM,170,174,21,26,OPS
25073679,ABY,A320,2025-07-23 06:30:00,2025-07-23 09:00:00,Pax,NBO,156,168,26,22,OPS
25073676,ABY,A320,2025-07-23 06:35:00,2025-07-23 08:10:00,Pax,KWI,132,176,1B,1B,OPS
25073685,ABY,A320,2025-07-23 06:35:00,2025-07-23 08:05:00,Pax,BAH,165,119,16,25,OPS
25073667,ABY,A320,2025-07-23 06:40:00,2025-07-23 08:45:00,Pax,TAS,150,163,56,31,OPS
25073672,ABY,A320,2025-07-23 06:40:00,2025-07-23 07:50:00,Pax,GYD,161,149,6,7,OPS
25073671,ABY,A320,2025-07-23 06:40:00,2025-07-23 09:55:00,Pax,ALA,161,177,60,58,OPS
25073669,ABY,A320,2025-07-23 06:40:00,2025-07-23 08:05:00,Pax,MCT,166,176,40,1A,OPS
25073682,ABY,A320,2025-07-23 06:40:00,2025-07-23 10:00:00,Pax,LRR,162,75,1C,40,OPS
25073675,ABY,A320,2025-07-23 06:40:00,2025-07-23 09:00:00,Pax,DME,166,128,39,33,OPS
25073674,ABY,A321,2025-07-23 06:45:00,2025-07-23 08:10:00,Pax,DMM,202,186,14,21,OPS
25073680,ABY,A320,2025-07-23 06:50:00,2025-07-23 08:10:00,Pax,TBS,142,153,50,16,OPS
25073683,RWD,B738,2025-07-23 07:00:00,2025-07-23 09:00:00,Cgo,KGL,0,0,53,57,OPS
25073678,ABY,A320,2025-07-23 07:00:00,2025-07-23 07:50:00,Pax,MLE,140,173,24,6,OPS
25073677,ABY,A320,2025-07-23 07:00:00,2025-07-23 09:10:00,Pax,IKA,125,151,58,29,OPS
25073673,ABY,A320,2025-07-23 07:00:00,2025-07-23 08:55:00,Pax,KRK,101,133,54,38,OPS
25073681,ABY,A321,2025-07-23 07:00:00,2025-07-23 07:50:00,Pax,BKK,208,204,23,4,OPS
25073670,ABY,A320,2025-07-23 07:00:00,2025-07-23 08:45:00,Pax,AER,168,118,38,36,OPS
25073666,AXB,B738,2025-07-23 07:05:00,2025-07-23 08:05:00,Pax,CNN,131,188,22,30,OPS
25073687,ABY,A320,2025-07-23 07:20:00,2025-07-23 08:45:00,Pax,DOH,159,132,7,8,OPS
25073688,NIA,A320,2025-07-23 08:00:00,2025-07-23 09:00:00,Pax,CAI,160,104,3,5,OPS
25073692,ABY,A320,2025-07-23 08:10:00,2025-07-23 09:20:00,Pax,ATH,162,117,4,3,OPS
25073694,MSC,B738,2025-07-23 09:00:00,2025-07-23 10:00:00,Pax,CAI,189,89,6,6,OPS
25073693,ABY,A320,2025-07-23 09:05:00,2025-07-23 19:50:00,Pax,BEY,150,170,56,32,OPS
25073696,CGS,B738,2025-07-23 09:10:00,2025-07-23 10:25:00,Cgo,EDL,0,0,59,55,OPS
25073695,ABY,A320,2025-07-23 09:10:00,2025-07-23 10:45:00,Pax,DAM,157,134,14,7,OPS
25073698,ABY,A320,2025-07-23 09:10:00,2025-07-23 09:55:00,Pax,BGW,175,132,31,4,OPS
25073697,ETH,B763,2025-07-23 09:15:00,2025-07-23 11:15:00,Cgo,NBO,0,0,55,53,OPS
