STAND,STATUS,FROM,TO,DURATION_MIN,MVMTNO
14,OCCUPIED,2025-07-10 23:25:00,2025-07-11 01:20:00,115.0,25071584
14,FREE,2025-07-11 01:20:00,2025-07-11 03:10:00,110.0,
14,OCCUPIED,2025-07-11 03:10:00,2025-07-11 04:45:00,95.0,25071606
14,FREE,2025-07-11 04:45:00,2025-07-11 07:00:00,135.0,
14,OCCUPIED,2025-07-11 07:00:00,2025-07-11 09:00:00,120.0,25071637
14,FREE,2025-07-11 09:00:00,2025-07-11 12:15:00,195.0,
14,OCCUPIED,2025-07-11 12:15:00,2025-07-11 14:00:00,105.0,25071667
14,FREE,2025-07-11 14:00:00,2025-07-11 14:40:00,40.0,
14,OCCUPIED,2025-07-11 14:40:00,2025-07-11 15:40:00,60.0,25071679
14,FREE,2025-07-11 15:40:00,2025-07-11 20:00:00,260.0,
14,OCCUPIED,2025-07-11 20:00:00,2025-07-11 21:40:00,100.0,25071716
14,FREE,2025-07-11 21:40:00,2025-07-11 22:30:00,50.0,
14,OCCUPIED,2025-07-11 22:30:00,2025-07-11 23:30:00,60.0,25071743
14,FREE,2025-07-11 23:30:00,2025-07-11 23:59:59,29.983333333333334,
16,OCCUPIED,2025-07-10 21:20:00,2025-07-11 00:05:00,165.0,25071568
16,FREE,2025-07-11 00:05:00,2025-07-11 04:05:00,240.0,
16,OCCUPIED,2025-07-11 04:05:00,2025-07-11 06:05:00,120.0,25071604
16,FREE,2025-07-11 06:05:00,2025-07-11 06:40:00,35.0,
16,OCCUPIED,2025-07-11 06:40:00,2025-07-11 08:20:00,100.0,25071638
16,FREE,2025-07-11 08:20:00,2025-07-11 11:40:00,200.0,
16,OCCUPIED,2025-07-11 11:40:00,2025-07-11 12:55:00,75.0,25071657
16,FREE,2025-07-11 12:55:00,2025-07-11 15:25:00,150.0,
16,OCCUPIED,2025-07-11 15:25:00,2025-07-11 16:45:00,80.0,25071678
16,FREE,2025-07-11 16:45:00,2025-07-11 20:50:00,245.0,
