STAND,STATUS,FROM,TO,DURATION_MIN,MVMTNO
14,FREE,2025-07-02 00:00:00,2025-07-02 07:00:00,420.0,
14,OCCUPIED,2025-07-02 07:00:00,2025-07-02 09:00:00,120.0,25070176
14,FREE,2025-07-02 09:00:00,2025-07-02 11:20:00,140.0,
14,OCCUPIED,2025-07-02 11:20:00,2025-07-02 12:45:00,85.0,25070200
14,FREE,2025-07-02 12:45:00,2025-07-02 19:40:00,415.0,
14,OCCUPIED,2025-07-02 19:40:00,2025-07-02 21:45:00,125.0,25070245
14,FREE,2025-07-02 21:45:00,2025-07-02 22:25:00,40.0,
14,OCCUPIED,2025-07-02 22:25:00,2025-07-03 00:08:00,103.0,25070283
16,OCCUPIED,2025-07-01 21:50:00,2025-07-02 00:31:00,161.0,25070116
16,FREE,2025-07-02 00:31:00,2025-07-02 06:40:00,369.0,
16,OCCUPIED,2025-07-02 06:40:00,2025-07-02 07:50:00,70.0,25070164
16,FREE,2025-07-02 07:50:00,2025-07-02 11:55:00,245.0,
16,OCCUPIED,2025-07-02 11:55:00,2025-07-02 13:35:00,100.0,25070203
16,FREE,2025-07-02 13:35:00,2025-07-02 20:25:00,410.0,
16,OCCUPIED,2025-07-02 20:25:00,2025-07-02 22:10:00,105.0,25070270
16,FREE,2025-07-02 22:10:00,2025-07-02 23:59:59,109.98333333333333,
1A,FREE,2025-07-02 00:00:00,2025-07-02 03:10:00,190.0,
1A,OCCUPIED,2025-07-02 03:10:00,2025-07-02 04:45:00,95.0,25070137
1A,FREE,2025-07-02 04:45:00,2025-07-02 05:20:00,35.0,
1A,OCCUPIED,2025-07-02 05:20:00,2025-07-02 07:00:00,100.0,25070151
1A,FREE,2025-07-02 07:00:00,2025-07-02 07:20:00,20.0,
1A,OCCUPIED,2025-07-02 07:20:00,2025-07-02 09:00:00,100.0,25070181
1A,FREE,2025-07-02 09:00:00,2025-07-02 11:00:00,120.0,
1A,OCCUPIED,2025-07-02 11:00:00,2025-07-02 13:05:00,125.0,25070194
1A,FREE,2025-07-02 13:05:00,2025-07-02 15:15:00,130.0,
1A,OCCUPIED,2025-07-02 15:15:00,2025-07-02 16:35:00,80.0,25070222
1A,FREE,2025-07-02 16:35:00,2025-07-02 17:30:00,55.0,
