MVMTNO,AIRL,A/CTYPE,STA,STD,LOADTYPE,DESTN,PAXIN,PAXOUT,HIST_STAND,MODEL_STAND,TYPE
25070029,KQA,B738,2025-07-01 07:55:00,2025-07-02 03:00:00,Cgo,NBO,0,0,61,61,PREDAY
25070105,ABY,A320,2025-07-01 20:25:00,2025-07-02 00:38:00,Pax,BOM,169,170,1B,1B,PREDAY
25070117,ABY,A320,2025-07-01 21:40:00,2025-07-02 00:10:00,Pax,CGP,148,150,5,5,PREDAY
25070116,ABY,A320,2025-07-01 21:50:00,2025-07-02 00:31:00,Pax,JAI,154,171,16,16,PREDAY
25070123,ABY,A321,2025-07-01 21:50:00,2025-07-02 07:40:00,Pax,BGY,203,215,38,38,PREDAY
25070119,ABY,A321,2025-07-01 22:10:00,2025-07-02 00:16:00,Pax,KHI,112,148,4,4,PREDAY
25070121,ABY,A320,2025-07-01 22:20:00,2025-07-02 02:10:00,Pax,KTM,168,165,21,21,PREDAY
25070122,ABY,A320,2025-07-01 22:25:00,2025-07-02 00:25:00,Pax,AMD,113,159,26,26,PREDAY
25070120,ABY,A320,2025-07-01 22:25:00,2025-07-02 03:00:00,Pax,KWI,68,56,23,23,PREDAY
25070118,AXB,A320,2025-07-01 22:30:00,2025-07-02 00:55:00,Pax,DEL,159,182,25,25,PREDAY
25070130,ABY,A321,2025-07-01 23:20:00,2025-07-02 03:55:00,Pax,BAH,215,74,33,33,PREDAY
25070125,ABY,A320,2025-07-01 23:25:00,2025-07-02 01:15:00,Pax,DAC,155,153,7,7,PREDAY
25070128,ABY,A320,2025-07-01 23:40:00,2025-07-02 02:40:00,Pax,PEW,173,154,24,24,PREDAY
25070129,AXB,B738,2025-07-01 23:42:00,2025-07-02 02:00:00,Pax,TRV,127,183,22,22,PREDAY
25070127,PIA,A320,2025-07-01 23:45:00,2025-07-02 00:59:00,Pax,MUX,159,169,3,3,PREDAY
25070131,UBG,B738,2025-07-02 00:30:00,2025-07-02 01:30:00,Pax,DAC,182,152,4,5,OPS
25070132,IGO,A320,2025-07-02 00:55:00,2025-07-02 01:55:00,Pax,LKO,154,159,6,6,OPS
25070134,ABY,A320,2025-07-02 01:30:00,2025-07-02 02:50:00,Pax,DOH,162,94,3,3,OPS
25070133,ABY,A320,2025-07-02 01:35:00,2025-07-02 14:55:00,Pax,DAC,174,150,31,37,OPS
25070136,MSR,A321,2025-07-02 02:00:00,2025-07-02 03:00:00,Pax,CAI,162,168,7,4,OPS
25070135,ABY,A320,2025-07-02 02:10:00,2025-07-02 03:50:00,Pax,DMM,157,174,5,5,OPS
25070137,ABQ,A320,2025-07-02 03:10:00,2025-07-02 04:45:00,Pax,LHE,177,177,8,1A,OPS
