STAND,STATUS,FROM,TO,DURATION_MIN,MVMTNO
14,FREE,2025-07-28 00:00:00,2025-07-28 04:10:00,250.0,
14,OCCUPIED,2025-07-28 04:10:00,2025-07-28 07:00:00,170.0,25074509
14,FREE,2025-07-28 07:00:00,2025-07-28 07:20:00,20.0,
14,OCCUPIED,2025-07-28 07:20:00,2025-07-28 09:00:00,100.0,25074551
14,FREE,2025-07-28 09:00:00,2025-07-28 12:15:00,195.0,
14,OCCUPIED,2025-07-28 12:15:00,2025-07-28 14:00:00,105.0,25074581
14,FREE,2025-07-28 14:00:00,2025-07-28 15:15:00,75.0,
14,OCCUPIED,2025-07-28 15:15:00,2025-07-28 16:55:00,100.0,25074597
14,FREE,2025-07-28 16:55:00,2025-07-28 19:00:00,125.0,
14,OCCUPIED,2025-07-28 19:00:00,2025-07-28 20:30:00,90.0,25074623
14,FREE,2025-07-28 20:30:00,2025-07-28 20:50:00,20.0,
14,OCCUPIED,2025-07-28 20:50:00,2025-07-28 22:40:00,110.0,25074643
14,FREE,2025-07-28 22:40:00,2025-07-28 23:59:59,79.98333333333333,
16,OCCUPIED,2025-07-27 22:20:00,2025-07-28 02:40:00,260.0,25074484
16,FREE,2025-07-28 02:40:00,2025-07-28 06:05:00,205.0,
16,OCCUPIED,2025-07-28 06:05:00,2025-07-28 07:30:00,85.0,25074531
16,FREE,2025-07-28 07:30:00,2025-07-28 11:20:00,230.0,
16,OCCUPIED,2025-07-28 11:20:00,2025-07-28 12:55:00,95.0,25074576
16,FREE,2025-07-28 12:55:00,2025-07-28 15:05:00,130.0,
16,OCCUPIED,2025-07-28 15:05:00,2025-07-28 16:45:00,100.0,25074591
16,FREE,2025-07-28 16:45:00,2025-07-28 18:50:00,125.0,
16,OCCUPIED,2025-07-28 18:50:00,2025-07-28 19:50:00,60.0,25074615
16,FREE,2025-07-28 19:50:00,2025-07-28 20:30:00,40.0,
16,OCCUPIED,2025-07-28 20:30:00,2025-07-28 22:20:00,110.0,25074648
16,FREE,2025-07-28 22:20:00,2025-07-28 23:59:59,99.98333333333333,
1A,FREE,2025-07-28 00:00:00,2025-07-28 02:10:00,130.0,
1A,OCCUPIED,2025-07-28 02:10:00,2025-07-28 03:55:00,105.0,25074503
1A,FREE,2025-07-28 03:55:00,2025-07-28 06:35:00,160.0,
1A,OCCUPIED,2025-07-28 06:35:00,2025-07-28 08:05:00,90.0,25074550
1A,FREE,2025-07-28 08:05:00,2025-07-28 11:40:00,215.0,
1A,OCCUPIED,2025-07-28 11:40:00,2025-07-28 13:05:00,85.0,25074573
1A,FREE,2025-07-28 13:05:00,2025-07-28 14:55:00,110.0,
1A,OCCUPIED,2025-07-28 14:55:00,2025-07-28 16:25:00,90.0,25074595
1A,FREE,2025-07-28 16:25:00,2025-07-28 17:05:00,40.0,
1A,OCCUPIED,2025-07-28 17:05:00,2025-07-28 18:55:00,110.0,25074607
1A,FREE,2025-07-28 18:55:00,2025-07-28 20:20:00,85.0,
1A,OCCUPIED,2025-07-28 20:20:00,2025-07-28 21:25:00,65.0,25074635
1A,FREE,2025-07-28 21:25:00,2025-07-28 22:25:00,60.0,
1A,OCCUPIED,2025-07-28 22:25:00,2025-07-29 00:25:00,120.0,25074661
1B,FREE,2025-07-28 00:00:00,2025-07-28 04:10:00,250.0,
1B,OCCUPIED,2025-07-28 04:10:00,2025-07-28 05:40:00,90.0,25074515
1B,FREE,2025-07-28 05:40:00,2025-07-28 06:05:00,25.0,
1B,OCCUPIED,2025-07-28 06:05:00,2025-07-28 08:10:00,125.0,25074528
1B,FREE,2025-07-28 08:10:00,2025-07-28 11:00:00,170.0,
1B,OCCUPIED,2025-07-28 11:00:00,2025-07-28 12:45:00,105.0,25074567
1B,FREE,2025-07-28 12:45:00,2025-07-28 15:05:00,140.0,
1B,OCCUPIED,2025-07-28 15:05:00,2025-07-28 16:35:00,90.0,25074599
1B,FREE,2025-07-28 16:35:00,2025-07-28 17:10:00,35.0,
1B,OCCUPIED,2025-07-28 17:10:00,2025-07-28 18:55:00,105.0,25074604
1B,FREE,2025-07-28 18:55:00,2025-07-28 20:35:00,100.0,
1B,OCCUPIED,2025-07-28 20:35:00,2025-07-28 22:10:00,95.0,25074644
1B,FREE,2025-07-28 22:10:00,2025-07-28 22:30:00,20.0,
1B,OCCUPIED,2025-07-28 22:30:00,2025-07-29 00:55:00,145.0,25074654
1C,OCCUPIED,2025-07-27 20:05:00,2025-07-28 03:50:00,465.0,25074456
1C,FREE,2025-07-28 03:50:00,2025-07-28 06:40:00,170.0,
1C,OCCUPIED,2025-07-28 06:40:00,2025-07-28 08:45:00,125.0,25074537
1C,FREE,2025-07-28 08:45:00,2025-07-28 10:45:00,120.0,
1C,OCCUPIED,2025-07-28 10:45:00,2025-07-28 12:10:00,85.0,25074564
1C,FREE,2025-07-28 12:10:00,2025-07-28 14:25:00,135.0,
1C,OCCUPIED,2025-07-28 14:25:00,2025-07-28 16:15:00,110.0,25074596
1C,FREE,2025-07-28 16:15:00,2025-07-28 17:50:00,95.0,
1C,OCCUPIED,2025-07-28 17:50:00,2025-07-28 19:20:00,90.0,25074611
