STAND,STATUS,FROM,TO,DURATION_MIN,MVMTNO
14,OCCUPIED,2025-07-08 23:40:00,2025-07-09 03:55:00,255.0,25071252
14,FREE,2025-07-09 03:55:00,2025-07-09 05:30:00,95.0,
14,OCCUPIED,2025-07-09 05:30:00,2025-07-09 07:30:00,120.0,25071278
14,FREE,2025-07-09 07:30:00,2025-07-09 12:15:00,285.0,
14,OCCUPIED,2025-07-09 12:15:00,2025-07-09 14:00:00,105.0,25071338
14,FREE,2025-07-09 14:00:00,2025-07-09 17:00:00,180.0,
14,OCCUPIED,2025-07-09 17:00:00,2025-07-09 18:55:00,115.0,25071360
14,FREE,2025-07-09 18:55:00,2025-07-09 19:40:00,45.0,
14,OCCUPIED,2025-07-09 19:40:00,2025-07-09 21:45:00,125.0,25071382
14,FREE,2025-07-09 21:45:00,2025-07-09 23:59:59,134.98333333333332,
16,FREE,2025-07-09 00:00:00,2025-07-09 07:00:00,420.0,
16,OCCUPIED,2025-07-09 07:00:00,2025-07-09 09:00:00,120.0,25071302
16,FREE,2025-07-09 09:00:00,2025-07-09 11:15:00,135.0,
16,OCCUPIED,2025-07-09 11:15:00,2025-07-09 13:00:00,105.0,25071327
16,FREE,2025-07-09 13:00:00,2025-07-09 15:25:00,145.0,
16,OCCUPIED,2025-07-09 15:25:00,2025-07-09 16:45:00,80.0,25071349
16,FREE,2025-07-09 16:45:00,2025-07-09 17:05:00,20.0,
16,OCCUPIED,2025-07-09 17:05:00,2025-07-09 19:50:00,165.0,25071363
16,FREE,2025-07-09 19:50:00,2025-07-09 20:50:00,60.0,
16,OCCUPIED,2025-07-09 20:50:00,2025-07-09 22:20:00,90.0,25071393
16,FREE,2025-07-09 22:20:00,2025-07-09 23:59:59,99.98333333333333,
1A,FREE,2025-07-09 00:00:00,2025-07-09 06:45:00,405.0,
1A,OCCUPIED,2025-07-09 06:45:00,2025-07-09 08:05:00,80.0,25071293
1A,FREE,2025-07-09 08:05:00,2025-07-09 10:45:00,160.0,
1A,OCCUPIED,2025-07-09 10:45:00,2025-07-09 12:45:00,120.0,25071322
1A,FREE,2025-07-09 12:45:00,2025-07-09 13:55:00,70.0,
1A,OCCUPIED,2025-07-09 13:55:00,2025-07-09 16:35:00,160.0,25071347
1A,FREE,2025-07-09 16:35:00,2025-07-09 18:15:00,100.0,
1A,OCCUPIED,2025-07-09 18:15:00,2025-07-09 20:30:00,135.0,25071370
1A,FREE,2025-07-09 20:30:00,2025-07-09 20:50:00,20.0,
1A,OCCUPIED,2025-07-09 20:50:00,2025-07-09 22:10:00,80.0,25071392
1A,FREE,2025-07-09 22:10:00,2025-07-09 22:30:00,20.0,
1A,OCCUPIED,2025-07-09 22:30:00,2025-07-10 00:55:00,145.0,25071406
1B,FREE,2025-07-09 00:00:00,2025-07-09 03:25:00,205.0,
1B,OCCUPIED,2025-07-09 03:25:00,2025-07-09 04:45:00,80.0,25071261
1B,FREE,2025-07-09 04:45:00,2025-07-09 06:15:00,90.0,
1B,OCCUPIED,2025-07-09 06:15:00,2025-07-09 08:10:00,115.0,25071298
1B,FREE,2025-07-09 08:10:00,2025-07-09 11:50:00,220.0,
1B,OCCUPIED,2025-07-09 11:50:00,2025-07-09 13:05:00,75.0,25071330
