MVMTNO,AIRL,A/CTYPE,STA,STD,LOADTYPE,DESTN,PAXIN,PAXOUT,HIST_STAND,MODEL_STAND,TYPE
25071057,ABY,A320,2025-07-07 18:55:00,2025-07-08 04:45:00,Pax,MUX,157,116,34,34,PREDAY
25071073,ABY,A320,2025-07-07 20:30:00,2025-07-08 07:00:00,Pax,KHI,174,126,54,54,PREDAY
25071081,ABY,A320,2025-07-07 20:50:00,2025-07-08 03:50:00,Pax,DMM,178,171,33,33,PREDAY
25071093,ABY,A320,2025-07-07 21:20:00,2025-07-08 07:30:00,Pax,RUH,163,152,38,38,PREDAY
25071104,FJL,A320,2025-07-07 21:50:00,2025-07-08 00:59:00,Pax,ISB,148,147,22,22,PREDAY
25071088,ABY,A320,2025-07-07 21:50:00,2025-07-08 02:10:00,Pax,KTM,156,167,36,36,PREDAY
25071091,ABY,A321,2025-07-07 22:10:00,2025-07-08 08:00:00,Pax,HKT,130,217,31,31,PREDAY
25071096,ABY,A320,2025-07-07 22:20:00,2025-07-08 09:10:00,Pax,EBB,157,145,56,56,PREDAY
25071098,ABY,A320,2025-07-07 22:25:00,2025-07-08 00:25:00,Pax,AMD,120,162,14,14,PREDAY
25071097,ABY,A320,2025-07-07 22:25:00,2025-07-08 01:15:00,Pax,DAC,74,158,30,30,PREDAY
25071089,AXB,A320,2025-07-07 22:30:00,2025-07-08 00:55:00,Pax,DEL,156,183,23,23,PREDAY
25071099,ABY,A320,2025-07-07 22:40:00,2025-07-08 00:10:00,Pax,CGP,86,152,3,3,PREDAY
25071101,FJL,A320,2025-07-07 22:55:00,2025-07-08 00:16:00,Pax,LHE,132,107,5,5,PREDAY
25071100,ABY,A320,2025-07-07 23:25:00,2025-07-08 07:55:00,Pax,CAI,155,162,39,39,PREDAY
25071103,ABY,A320,2025-07-07 23:40:00,2025-07-08 02:50:00,Pax,DOH,167,122,21,21,PREDAY
25071102,PIA,A320,2025-07-07 23:45:00,2025-07-08 01:00:00,Pax,PEW,153,154,4,4,PREDAY
25071105,AXB,B738,2025-07-07 23:50:00,2025-07-08 02:00:00,Pax,TRV,125,178,7,7,PREDAY
25071106,ABY,A320,2025-07-08 00:19:00,2025-07-08 03:55:00,Pax,BAH,172,138,16,29,OPS
25071108,UBG,B738,2025-07-08 00:30:00,2025-07-08 01:30:00,Pax,DAC,188,153,6,3,OPS
25071107,IGO,A320,2025-07-08 00:55:00,2025-07-08 01:55:00,Pax,LKO,176,179,8,1A,OPS
25071109,ABY,A321,2025-07-08 01:35:00,2025-07-08 08:45:00,Pax,DOH,214,104,37,53,OPS
25071110,TKJ,B738,2025-07-08 01:55:00,2025-07-08 03:55:00,Pax,SAW,134,156,5,5,OPS
25071151,MSR,A321,2025-07-08 02:00:00,2025-07-08 03:00:00,Pax,CAI,95,171,23,4,OPS
25071111,ABY,A320,2025-07-08 02:10:00,2025-07-08 07:10:00,Pax,PEW,82,149,35,32,OPS
25071112,KQA,B738,2025-07-08 02:35:00,2025-07-08 04:00:00,Cgo,NBO,0,0,57,51,OPS
25071114,ABQ,A321,2025-07-08 03:10:00,2025-07-08 04:45:00,Pax,LHE,150,125,6,7,OPS
25071113,AXB,A320,2025-07-08 03:15:00,2025-07-08 04:15:00,Pax,CCJ,87,190,8,3,OPS
25071115,ABY,A320,2025-07-08 03:15:00,2025-07-08 08:50:00,Pax,FRU,46,168,32,37,OPS
25071116,ABY,A320,2025-07-08 03:25:00,2025-07-08 07:30:00,Pax,JED,143,176,30,60,OPS
25071117,PGT,A321,2025-07-08 03:40:00,2025-07-08 04:50:00,Pax,SAW,126,166,23,6,OPS
25071118,IGO,A320,2025-07-08 03:55:00,2025-07-08 04:55:00,Pax,TRV,100,184,7,4,OPS
25071121,ABY,A320,2025-07-08 04:00:00,2025-07-08 08:10:00,Pax,DMM,168,168,40,55,OPS
25071122,ABY,A320,2025-07-08 04:05:00,2025-07-08 09:00:00,Pax,DME,53,95,36,35,OPS
25071120,ABY,A320,2025-07-08 04:10:00,2025-07-08 09:25:00,Pax,IST,146,127,61,40,OPS
25071119,QTR,A320,2025-07-08 04:10:00,2025-07-08 05:40:00,Pax,DOH,66,125,4,8,OPS
25071123,AXB,B738,2025-07-08 05:00:00,2025-07-08 06:00:00,Pax,COK,77,186,5,3,OPS
25071124,ABY,A320,2025-07-08 05:20:00,2025-07-08 07:35:00,Pax,WAW,106,83,23,26,OPS
25071126,ABY,A320,2025-07-08 05:30:00,2025-07-08 07:30:00,Pax,MED,166,125,6,4,OPS
25071125,ABY,A321,2025-07-08 05:30:00,2025-07-08 08:20:00,Pax,AMM,102,217,34,23,OPS
25071130,ABY,A320,2025-07-08 05:35:00,2025-07-08 09:55:00,Pax,BGW,145,143,60,51,OPS
25071127,ABY,A320,2025-07-08 05:35:00,2025-07-09 09:25:00,Pax,IST,118,93,55,58,OPS
25071132,ABY,A320,2025-07-08 05:40:00,2025-07-08 09:20:00,Pax,BEY,174,167,58,36,OPS
25071131,ABY,A320,2025-07-08 05:55:00,2025-07-08 08:05:00,Pax,EVN,162,148,7,25,OPS
25071128,ABY,A320,2025-07-08 06:00:00,2025-07-08 08:55:00,Pax,KRK,172,116,50,29,OPS
25071129,ABY,A320,2025-07-08 06:05:00,2025-07-08 07:50:00,Pax,MLE,173,174,8,16,OPS
25071138,ABY,A320,2025-07-08 06:15:00,2025-07-08 08:10:00,Pax,KWI,140,166,16,1B,OPS
25071137,ABY,A320,2025-07-08 06:15:00,2025-07-08 15:10:00,Pax,RUH,99,151,62,52,OPS
25071140,ABY,A320,2025-07-08 06:25:00,2025-07-08 13:25:00,Pax,TBS,124,157,52,34,OPS
25071150,ABY,A321,2025-07-08 06:25:00,2025-07-08 07:50:00,Pax,BKK,193,214,21,14,OPS
25071134,ABY,A320,2025-07-08 06:30:00,2025-07-08 08:05:00,Pax,BAH,160,149,3,1C,OPS
25071139,ABY,A320,2025-07-08 06:30:00,2025-07-08 08:10:00,Pax,ELQ,140,174,26,1A,OPS
25071133,ABY,A320,2025-07-08 06:35:00,2025-07-08 12:55:00,Pax,TRV,155,167,1C,62,OPS
25071145,ABY,A320,2025-07-08 06:35:00,2025-07-08 08:00:00,Pax,VIE,144,147,4,21,OPS
25071146,ABY,A320,2025-07-08 06:40:00,2025-07-08 09:45:00,Pax,EBL,156,117,1B,50,OPS
25071141,ABY,A320,2025-07-08 06:40:00,2025-07-08 09:00:00,Pax,DAC,153,160,24,22,OPS
25071144,ABY,A320,2025-07-08 06:40:00,2025-07-08 09:55:00,Pax,ALA,92,104,53,33,OPS
25071148,ABY,A320,2025-07-08 07:00:00,2025-07-08 08:00:00,Pax,BSA,114,66,25,7,OPS
25071136,ABY,A320,2025-07-08 07:00:00,2025-07-08 08:05:00,Pax,MCT,160,145,1A,5,OPS
25071142,ABY,A320,2025-07-08 07:00:00,2025-07-08 09:15:00,Pax,AER,170,39,14,30,OPS
25071143,ABY,A320,2025-07-08 07:00:00,2025-07-08 07:55:00,Pax,BGW,68,116,5,6,OPS
25071135,AXB,B738,2025-07-08 07:05:00,2025-07-08 08:05:00,Pax,CNN,114,180,22,8,OPS
25071149,ABY,A320,2025-07-08 07:20:00,2025-07-08 08:20:00,Pax,CMB,149,175,29,3,OPS
25071147,ABY,A320,2025-07-08 07:25:00,2025-07-08 09:10:00,Pax,IKA,149,113,33,24,OPS
25071153,ABY,A321,2025-07-08 08:10:00,2025-07-08 12:45:00,Pax,CAI,189,211,7,32,OPS
25071152,FJL,A320,2025-07-08 08:15:00,2025-07-08 09:05:00,Pax,ISB,158,152,6,4,OPS
