MVMTNO,AIRL,A/CTYPE,STA,STD,LOADTYPE,DESTN,PAXIN,PAXOUT,HIST_STAND,MODEL_STAND,TYPE
25072540,ABY,A321,2025-07-16 16:55:00,2025-07-17 09:00:00,Pax,NBO,72,193,59,59,PREDAY
25072552,ABY,A320,2025-07-16 18:20:00,2025-07-17 01:15:00,Pax,DAC,165,145,25,25,PREDAY
25072582,ABY,A321,2025-07-16 20:20:00,2025-07-17 03:50:00,Pax,DMM,184,179,39,39,PREDAY
25072580,ABY,A320,2025-07-16 20:50:00,2025-07-17 02:10:00,Pax,KTM,174,162,29,29,PREDAY
25072592,ABY,A321,2025-07-16 21:20:00,2025-07-17 00:00:00,Pax,BKK,206,213,8,8,PREDAY
25072593,FJL,A320,2025-07-16 21:50:00,2025-07-17 00:05:00,Pax,ISB,149,161,21,21,PREDAY
25072585,AXB,A320,2025-07-16 22:30:00,2025-07-17 00:55:00,Pax,DEL,152,181,24,24,PREDAY
25072599,ABY,A320,2025-07-16 23:25:00,2025-07-17 00:25:00,Pax,AMD,165,165,16,16,PREDAY
25072595,QTR,A320,2025-07-16 23:30:00,2025-07-17 00:30:00,Pax,DOH,51,61,4,4,PREDAY
25072598,AXB,B738,2025-07-16 23:42:00,2025-07-17 03:05:00,Pax,BOM,60,172,23,23,PREDAY
25072597,PIA,A320,2025-07-16 23:45:00,2025-07-17 01:00:00,Pax,PEW,133,76,3,3,PREDAY
25072600,BBC,B738,2025-07-16 23:50:00,2025-07-17 01:15:00,Pax,ZYL,159,157,5,5,PREDAY
25072601,AXB,B38M,2025-07-16 23:55:00,2025-07-17 02:00:00,Pax,ATQ,154,168,6,6,PREDAY
25072602,ABY,A320,2025-07-17 00:12:00,2025-07-17 04:45:00,Pax,MUX,174,134,34,30,OPS
25072606,ETH,B763,2025-07-17 00:30:00,2025-07-17 03:30:00,Cgo,LOS,0,0,51,51,OPS
25072603,IGO,A320,2025-07-17 00:55:00,2025-07-17 01:55:00,Pax,LKO,169,169,7,8,OPS
25072607,ABY,A320,2025-07-17 01:30:00,2025-07-17 02:40:00,Pax,PEW,124,132,4,3,OPS
25072604,ABY,A321,2025-07-17 01:35:00,2025-07-17 07:50:00,Pax,BKK,215,213,35,60,OPS
25072608,ABY,A320,2025-07-17 01:50:00,2025-07-17 03:00:00,Pax,KWI,8,155,3,7,OPS
25072605,MSR,A321,2025-07-17 02:00:00,2025-07-17 03:00:00,Pax,CAI,119,165,5,4,OPS
25072610,TKJ,B738,2025-07-17 02:45:00,2025-07-17 03:55:00,Pax,SAW,185,181,7,6,OPS
25072611,AXB,A320,2025-07-17 03:15:00,2025-07-17 04:15:00,Pax,CCJ,134,184,6,5,OPS
25072614,ABY,A320,2025-07-17 03:25:00,2025-07-17 04:15:00,Pax,DAM,42,142,22,8,OPS
25072616,ETH,B38M,2025-07-17 03:25:00,2025-07-17 04:25:00,Pax,ADD,134,125,4,3,OPS
25072615,PGT,A321,2025-07-17 03:40:00,2025-07-17 04:50:00,Pax,SAW,198,168,21,7,OPS
25072618,IGO,A320,2025-07-17 03:55:00,2025-07-17 04:55:00,Pax,TRV,144,191,5,4,OPS
25072617,ABY,A320,2025-07-17 04:00:00,2025-07-17 07:00:00,Pax,KHI,172,97,36,34,OPS
25072626,FJL,A320,2025-07-17 04:01:00,2025-07-17 05:55:00,Pax,LHE,129,138,3,1C,OPS
25072620,ABY,A320,2025-07-17 04:05:00,2025-07-17 07:50:00,Pax,MLE,40,174,38,54,OPS
25072624,ABY,A320,2025-07-17 04:10:00,2025-07-17 09:55:00,Pax,ALA,156,177,54,58,OPS
25072619,QTR,A320,2025-07-17 04:10:00,2025-07-17 05:40:00,Pax,DOH,72,118,8,1A,OPS
25072621,ABY,A320,2025-07-17 05:00:00,2025-07-17 09:00:00,Pax,DME,137,129,52,37,OPS
25072660,AXB,B738,2025-07-17 05:00:00,2025-07-17 06:00:00,Pax,COK,171,185,4,3,OPS
25072622,ABY,A320,2025-07-17 05:10:00,2025-07-17 07:30:00,Pax,JED,173,174,6,16,OPS
25072625,ABY,A321,2025-07-17 05:30:00,2025-07-17 07:30:00,Pax,RUH,139,214,7,6,OPS
25072629,ABY,A320,2025-07-17 05:35:00,2025-07-17 09:20:00,Pax,BEY,152,173,53,51,OPS
25072627,ABY,A320,2025-07-17 05:40:00,2025-07-17 09:20:00,Pax,ATH,174,122,32,56,OPS
25072623,ABY,A320,2025-07-17 05:50:00,2025-07-17 09:10:00,Pax,LRR,173,80,39,62,OPS
25072628,ABY,A320,2025-07-17 05:50:00,2025-07-17 12:55:00,Pax,TBS,160,101,56,52,OPS
25072635,ABY,A320,2025-07-17 05:55:00,2025-07-17 08:05:00,Pax,MCT,159,150,5,1B,OPS
25072633,ABY,A320,2025-07-17 06:00:00,2025-07-17 08:10:00,Pax,ELQ,163,164,37,24,OPS
25072631,ABY,A320,2025-07-17 06:05:00,2025-07-17 09:45:00,Pax,EBL,138,133,62,38,OPS
25072630,ABY,A320,2025-07-17 06:05:00,2025-07-17 08:50:00,Pax,FRU,161,172,60,32,OPS
25072634,ABY,A320,2025-07-17 06:05:00,2025-07-17 07:35:00,Pax,SLL,169,178,1A,1A,OPS
25072639,ABY,A320,2025-07-17 06:15:00,2025-07-17 08:55:00,Pax,KRK,137,116,33,35,OPS
25072636,ABY,A321,2025-07-17 06:25:00,2025-07-17 08:10:00,Pax,TBS,206,110,14,21,OPS
25072644,ABY,A320,2025-07-17 06:25:00,2025-07-17 09:25:00,Pax,IST,155,178,58,39,OPS
25072651,ABY,A320,2025-07-17 06:30:00,2025-07-17 09:10:00,Pax,EBB,154,159,26,26,OPS
25072638,ABY,A320,2025-07-17 06:30:00,2025-07-17 07:55:00,Pax,CAI,124,162,34,25,OPS
25072632,ABY,A320,2025-07-17 06:35:00,2025-07-17 07:55:00,Pax,BGW,159,133,51,22,OPS
25072643,ABY,A320,2025-07-17 06:35:00,2025-07-17 07:30:00,Pax,MED,134,177,4,7,OPS
25072637,ABY,A320,2025-07-17 06:35:00,2025-07-17 07:50:00,Pax,GYD,155,166,24,4,OPS
25072656,ABY,A320,2025-07-17 06:40:00,2025-07-17 13:40:00,Pax,AMM,104,184,29,40,OPS
25072646,ABY,A320,2025-07-17 06:40:00,2025-07-17 08:20:00,Pax,CMB,170,173,16,14,OPS
25072652,ABY,A320,2025-07-17 06:40:00,2025-07-17 08:20:00,Pax,AMM,161,178,25,33,OPS
25072649,ABY,A320,2025-07-17 06:40:00,2025-07-17 08:10:00,Pax,KWI,147,175,8,1C,OPS
25072640,ABY,A320,2025-07-17 06:40:00,2025-07-17 08:05:00,Pax,BAH,160,149,31,31,OPS
25072642,ABY,A321,2025-07-17 06:45:00,2025-07-17 09:00:00,Pax,DAC,184,197,30,23,OPS
25072647,ABY,A320,2025-07-17 06:45:00,2025-07-17 07:35:00,Pax,WAW,153,151,21,3,OPS
25072645,ABY,A320,2025-07-17 06:55:00,2025-07-17 10:45:00,Pax,DAM,165,122,1C,50,OPS
25072653,ABY,A320,2025-07-17 07:00:00,2025-07-17 08:45:00,Pax,DOH,72,157,50,29,OPS
25072648,ABY,A320,2025-07-17 07:00:00,2025-07-17 08:10:00,Pax,DMM,152,174,23,5,OPS
25072654,ABY,A321,2025-07-17 07:00:00,2025-07-17 08:00:00,Pax,HKT,191,214,3,8,OPS
25072650,ABY,A320,2025-07-17 07:00:00,2025-07-17 09:00:00,Pax,GOX,161,171,1B,36,OPS
25072641,AXB,B738,2025-07-17 07:05:00,2025-07-17 08:05:00,Pax,CNN,107,189,22,30,OPS
25072657,ABY,A320,2025-07-17 07:20:00,2025-07-17 08:45:00,Pax,AER,150,83,36,34,OPS
