MVMTNO,AIRL,A/CTYPE,STA,STD,LOADTYPE,DESTN,PAXIN,PAXOUT,HIST_STAND,MODEL_STAND,TYPE
25074436,ABY,A320,2025-07-27 16:10:00,2025-07-28 05:50:00,Pax,TUU,165,146,38,38,PREDAY
25074456,ABY,A320,2025-07-27 20:05:00,2025-07-28 03:50:00,Pax,DMM,175,175,1C,1C,PREDAY
25074461,ABY,A320,2025-07-27 20:45:00,2025-07-28 04:45:00,Pax,MUX,168,117,29,29,PREDAY
25074470,ABY,A320,2025-07-27 20:50:00,2025-07-28 00:25:00,Pax,AMD,145,151,40,40,PREDAY
25074473,ABY,A320,2025-07-27 21:10:00,2025-07-28 07:50:00,Pax,MLE,173,166,52,52,PREDAY
25074469,IGO,A320,2025-07-27 21:40:00,2025-07-28 00:06:00,Pax,HYD,165,180,25,25,PREDAY
25074478,ABY,A321,2025-07-27 21:50:00,2025-07-28 07:40:00,Pax,BGY,212,184,58,58,PREDAY
25074483,ABY,A321,2025-07-27 22:10:00,2025-07-28 07:50:00,Pax,BKK,198,214,54,54,PREDAY
25074484,ABY,A320,2025-07-27 22:20:00,2025-07-28 02:40:00,Pax,PEW,149,88,16,16,PREDAY
25074482,AXB,A320,2025-07-27 22:30:00,2025-07-28 00:55:00,Pax,DEL,148,140,22,22,PREDAY
25074491,ABY,A320,2025-07-27 23:20:00,2025-07-28 00:10:00,Pax,CGP,169,150,31,31,PREDAY
25074492,ABY,A320,2025-07-27 23:25:00,2025-07-28 02:10:00,Pax,KTM,172,96,26,26,PREDAY
25074490,QTR,A320,2025-07-27 23:30:00,2025-07-28 00:30:00,Pax,DOH,79,60,5,5,PREDAY
25074493,AXB,B738,2025-07-27 23:32:00,2025-07-28 03:05:00,Pax,BOM,147,102,23,23,PREDAY
25074497,AXB,B738,2025-07-28 00:25:00,2025-07-28 02:00:00,Pax,ATQ,183,111,24,7,OPS
25074495,UBG,B738,2025-07-28 00:30:00,2025-07-28 01:30:00,Pax,DAC,188,130,8,3,OPS
25074496,IGO,A320,2025-07-28 00:55:00,2025-07-28 01:55:00,Pax,LKO,169,167,7,5,OPS
25074501,ABY,A320,2025-07-28 01:30:00,2025-07-28 02:50:00,Pax,DOH,175,91,5,6,OPS
25074500,ABY,A320,2025-07-28 01:35:00,2025-07-28 09:20:00,Pax,BEY,172,147,34,36,OPS
25074499,ABY,A320,2025-07-28 01:35:00,2025-07-28 09:00:00,Pax,DME,143,158,30,56,OPS
25074525,MSR,B738,2025-07-28 02:00:00,2025-07-28 03:00:00,Pax,CAI,172,126,3,4,OPS
25074503,ABY,A320,2025-07-28 02:10:00,2025-07-28 03:55:00,Pax,BAH,173,132,21,1A,OPS
25074504,AXB,B738,2025-07-28 03:00:00,2025-07-28 04:00:00,Pax,COK,168,182,8,5,OPS
25074517,ABY,A320,2025-07-28 03:15:00,2025-07-28 07:10:00,Pax,ELQ,146,173,16,37,OPS
25074506,ABY,A320,2025-07-28 03:25:00,2025-07-28 04:15:00,Pax,DAM,127,137,14,6,OPS
25074512,ETH,B38M,2025-07-28 03:25:00,2025-07-28 04:25:00,Pax,ADD,140,104,5,7,OPS
25074505,JAG,B752,2025-07-28 03:30:00,2025-07-28 05:30:00,Cgo,AKX,0,0,53,51,OPS
25074514,PGT,A321,2025-07-28 03:40:00,2025-07-28 04:50:00,Pax,SAW,220,211,7,3,OPS
25074508,IGO,A320,2025-07-28 03:55:00,2025-07-28 04:55:00,Pax,TRV,184,176,6,4,OPS
25074518,ABY,A320,2025-07-28 04:00:00,2025-07-28 08:20:00,Pax,AMM,158,174,36,40,OPS
25074510,ABY,A320,2025-07-28 04:05:00,2025-07-28 06:05:00,Pax,UET,123,43,25,8,OPS
25074515,QTR,A320,2025-07-28 04:10:00,2025-07-28 05:40:00,Pax,DOH,99,143,4,1B,OPS
25074509,ABY,A320,2025-07-28 04:10:00,2025-07-28 07:00:00,Pax,KHI,150,106,40,14,OPS
25074523,ABY,A320,2025-07-28 04:40:00,2025-07-28 09:25:00,Pax,IST,175,121,39,60,OPS
25074516,ABY,A320,2025-07-28 05:00:00,2025-07-28 07:55:00,Pax,CAI,155,169,31,34,OPS
25074513,AXB,A20N,2025-07-28 05:00:00,2025-07-28 06:00:00,Pax,CCJ,182,182,8,5,OPS
25074554,ETH,B777,2025-07-28 05:05:00,2025-07-28 11:00:00,Cgo,DSS,0,0,61,53,OPS
25074520,KQA,B738,2025-07-28 05:30:00,2025-07-28 07:00:00,Cgo,NBO,0,0,57,57,OPS
25074521,ABY,A321,2025-07-28 05:30:00,2025-07-28 12:45:00,Pax,CAI,215,212,35,50,OPS
25074519,SEP,B738,2025-07-28 05:40:00,2025-07-28 06:40:00,Pax,ISB,177,75,22,3,OPS
25074522,ABY,A320,2025-07-28 05:50:00,2025-07-28 08:20:00,Pax,CMB,172,173,33,21,OPS
25074527,ABY,A320,2025-07-28 05:50:00,2025-07-28 09:55:00,Pax,ALA,181,172,37,39,OPS
25074536,ABY,A320,2025-07-28 05:55:00,2025-07-28 10:00:00,Pax,LRR,159,101,1C,51,OPS
25074524,ABY,A320,2025-07-28 06:00:00,2025-07-28 09:10:00,Pax,EBB,106,146,60,59,OPS
25074528,ABY,A320,2025-07-28 06:05:00,2025-07-28 08:10:00,Pax,KWI,165,175,29,1B,OPS
25074531,ABY,A320,2025-07-28 06:05:00,2025-07-28 07:30:00,Pax,MED,175,175,7,16,OPS
25074526,PGT,A321,2025-07-28 06:15:00,2025-07-28 07:20:00,Pax,SAW,184,139,23,30,OPS
25074534,ABY,A320,2025-07-28 06:15:00,2025-07-28 07:20:00,Pax,KBL,170,162,6,4,OPS
25074543,ABY,A320,2025-07-28 06:25:00,2025-07-28 13:40:00,Pax,AMM,162,157,62,35,OPS
25074545,ABY,A320,2025-07-28 06:30:00,2025-07-28 08:05:00,Pax,EVN,159,179,4,22,OPS
25074529,ABY,A320,2025-07-28 06:30:00,2025-07-28 08:45:00,Pax,AER,173,163,24,33,OPS
25074550,ABY,A320,2025-07-28 06:35:00,2025-07-28 08:05:00,Pax,MCT,166,169,1A,1A,OPS
25074532,ABY,A320,2025-07-28 06:35:00,2025-07-28 08:50:00,Pax,FRU,164,177,26,26,OPS
25074540,ABY,A320,2025-07-28 06:40:00,2025-07-28 14:25:00,Pax,AJF,164,162,50,62,OPS
25074548,ABY,A320,2025-07-28 06:40:00,2025-07-28 13:25:00,Pax,TBS,169,126,38,38,OPS
25074533,ABY,A320,2025-07-28 06:40:00,2025-07-28 07:30:00,Pax,JED,173,176,8,5,OPS
25074537,ABY,A320,2025-07-28 06:40:00,2025-07-28 08:45:00,Pax,DOH,159,175,53,1C,OPS
25074530,ABY,A320,2025-07-28 06:40:00,2025-07-28 08:45:00,Pax,TAS,165,170,32,31,OPS
25074538,ABY,A320,2025-07-28 06:40:00,2025-07-28 08:10:00,Pax,TBS,161,125,22,24,OPS
25074544,ABY,A321,2025-07-28 06:45:00,2025-07-28 09:00:00,Pax,DAC,206,131,59,23,OPS
25074542,ABY,A320,2025-07-28 06:50:00,2025-07-28 09:10:00,Pax,IKA,165,157,1B,25,OPS
25074555,SIA,B744,2025-07-28 06:50:00,2025-07-28 08:10:00,Cgo,SIN,0,0,51,55,OPS
25074541,ABY,A320,2025-07-28 07:00:00,2025-07-28 08:55:00,Pax,KRK,167,163,56,32,OPS
25074549,ABY,A321,2025-07-28 07:00:00,2025-07-28 08:00:00,Pax,HKT,213,216,3,6,OPS
25074547,ABY,A320,2025-07-28 07:00:00,2025-07-28 08:10:00,Pax,DMM,160,178,14,3,OPS
25074539,ABY,A320,2025-07-28 07:00:00,2025-07-28 08:05:00,Pax,BAH,167,174,25,7,OPS
25074546,ABY,A320,2025-07-28 07:00:00,2025-07-28 07:50:00,Pax,GYD,172,163,21,8,OPS
25074552,AXB,B738,2025-07-28 07:05:00,2025-07-28 08:05:00,Pax,CNN,151,172,5,29,OPS
25074551,ABY,A320,2025-07-28 07:20:00,2025-07-28 09:00:00,Pax,NBO,159,174,6,14,OPS
25074562,NIA,A320,2025-07-28 08:00:00,2025-07-28 09:00:00,Pax,CAI,162,112,3,4,OPS
25074557,ABY,A321,2025-07-28 08:10:00,2025-07-28 13:20:00,Pax,KHI,189,163,23,30,OPS
25074560,MSC,B738,2025-07-28 09:00:00,2025-07-28 10:00:00,Pax,CAI,189,108,7,6,OPS
25074561,ABY,A320,2025-07-28 09:10:00,2025-07-28 10:45:00,Pax,DAM,172,143,8,5,OPS
25074558,ABY,A320,2025-07-28 09:10:00,2025-07-28 09:55:00,Pax,BGW,158,158,4,3,OPS
25074563,QTR,A320,2025-07-28 09:55:00,2025-07-28 11:20:00,Pax,DOH,144,134,5,4,OPS
25074566,AXB,B738,2025-07-28 10:40:00,2025-07-28 13:40:00,Pax,TRV,156,173,24,34,OPS
25074565,AXB,A320,2025-07-28 10:40:00,2025-07-28 12:05:00,Pax,VNS,166,158,22,23,OPS
25074564,ABY,A320,2025-07-28 10:45:00,2025-07-28 12:10:00,Pax,IKA,173,151,6,1C,OPS
25074572,ABY,A320,2025-07-28 10:55:00,2025-07-28 13:10:00,Pax,COK,163,160,29,22,OPS
25074567,ABY,A320,2025-07-28 11:00:00,2025-07-28 12:45:00,Pax,TIF,164,168,14,1B,OPS
25074568,ABD,B744,2025-07-28 11:05:00,2025-07-28 13:00:00,Cgo,LGG,0,0,53,51,OPS
25074571,ABY,A320,2025-07-28 11:10:00,2025-07-28 12:00:00,Pax,YNB,124,145,4,3,OPS
25074569,ABY,A320,2025-07-28 11:15:00,2025-07-28 12:10:00,Pax,MHD,110,134,3,6,OPS
25074576,ABY,A320,2025-07-28 11:20:00,2025-07-28 12:55:00,Pax,TRV,176,163,16,16,OPS
25074573,ABY,A320,2025-07-28 11:40:00,2025-07-28 13:05:00,Pax,DEL,167,141,21,1A,OPS
25074570,ABY,A320,2025-07-28 11:40:00,2025-07-28 12:30:00,Pax,MED,57,175,7,5,OPS
25074583,ABY,A320,2025-07-28 11:40:00,2025-07-28 14:40:00,Pax,TZX,146,175,32,31,OPS
25074575,ABY,A320,2025-07-28 11:55:00,2025-07-28 12:45:00,Pax,AHB,111,177,5,4,OPS
25074574,ABY,A320,2025-07-28 11:55:00,2025-07-28 12:55:00,Pax,CGP,167,131,25,21,OPS
25074577,ABY,A320,2025-07-28 12:00:00,2025-07-28 13:05:00,Pax,KRK,122,175,8,7,OPS
25074578,ABY,A321,2025-07-28 12:05:00,2025-07-28 15:10:00,Pax,RUH,162,215,33,33,OPS
25074580,ABY,A320,2025-07-28 12:10:00,2025-07-28 13:15:00,Pax,DAC,146,126,26,8,OPS
25074581,ABY,A321,2025-07-28 12:15:00,2025-07-28 14:00:00,Pax,JED,192,219,4,14,OPS
25074579,ABY,A320,2025-07-28 12:20:00,2025-07-28 13:05:00,Pax,GYD,114,172,31,3,OPS
25074582,ABY,A320,2025-07-28 12:40:00,2025-07-28 14:00:00,Pax,DOH,89,158,6,6,OPS
25074587,ABY,A320,2025-07-28 13:20:00,2025-07-28 17:00:00,Pax,BAH,170,147,30,29,OPS
25074588,PIA,A320,2025-07-28 13:45:00,2025-07-28 15:00:00,Pax,SKT,152,86,3,5,OPS
25074586,ABY,A320,2025-07-28 13:55:00,2025-07-28 14:55:00,Pax,DAC,94,111,8,4,OPS
25074589,ABY,A320,2025-07-28 14:00:00,2025-07-28 15:00:00,Pax,KWI,143,149,14,3,OPS
25074596,ABY,A320,2025-07-28 14:25:00,2025-07-28 16:15:00,Pax,SLL,175,182,25,1C,OPS
25074594,IGO,A320,2025-07-28 14:35:00,2025-07-28 15:35:00,Pax,ATQ,181,94,5,8,OPS
25074592,ABY,A320,2025-07-28 14:35:00,2025-07-28 15:30:00,Pax,ELQ,171,174,16,6,OPS
25074593,FJL,A320,2025-07-28 14:40:00,2025-07-28 15:40:00,Pax,LHE,145,109,21,7,OPS
25074595,ABY,A320,2025-07-28 14:55:00,2025-07-28 16:25:00,Pax,WAW,178,153,4,1A,OPS
25074599,ABY,A320,2025-07-28 15:05:00,2025-07-28 16:35:00,Pax,DMM,156,163,6,1B,OPS
